userId,title,rating
1,AM Decline Abs,4.6
1,Skip,4.3
1,Child's pose,2.5
1,Barbell glute bridge,4.6
1,Tire flip,3.7
1,Rower,4.0
1,Clean and jerk,1.4
2,FYR Dumbbell Shoulder Press,4.3
2,Broad jump,2.3
2,Adductor SMR,2.5
2,Barbell glute bridge,2.6
2,Tire flip,2.1
2,Plate push,3.6
2,Power snatch-,1.1
3,Bear crawl,3.5
3,Knee Tuck Jump,1.9
3,Standing hip circle,3.3
3,Good Morning,3.4
3,Sled Push,3.3
3,Rower,4.1
3,Power snatch-,3.2
4,Single-arm inverted row,3.7
4,Medicine ball scoop throw,1.3
4,Alternating standing knee-pull stretch,1.7
4,Barbell deficit deadlift,3.8
4,Bear crawl sled drag,3.7
4,Rower,3.7
4,Push-press,3.0
5,Single-arm barbell lateral raise,1.1
5,Dumbbell jump squat,2.4
5,Standing hamstring stretch,2.7
5,Sumo deadlift,2.6
5,Sled Push,4.0
5,Plate push,1.9
5,Behind-the-head push-press,1.7
6,Smith machine stiff-legged deadlift,4.2
6,Medicine ball ninja,4.2
6,Alternating standing knee-pull stretch,2.1
6,Dumbbell floor press,1.3
6,Dumbbell farmer's walk,1.4
6,Sled push-,3.4
6,Push-jerk,2.7
7,Decline dumbbell fly and press,2.1
7,Squat Isometric Hold,2.1
7,Inchworm,4.3
7,Good Morning,1.2
7,Bear crawl sled drag,1.9
7,Jumping Jack,1.2
7,Behind-the-head push-press,1.9
8,Total Fitness Bear Crawl,4.9
8,Broad jump,4.8
8,Kneeling hip flexor stretch,2.5
8,Dumbbell floor press,4.9
8,Sled Push,1.6
8,Stationary bike,4.3
8,Push-jerk,3.2
9,Cable rope push-down,2.2
9,Skip,4.9
9,Calf SMR,2.7
9,Rack pull,1.7
9,Dumbbell farmer's walk,4.2
9,Treadmill jogging,2.2
9,Push-jerk,1.7
10,Bent-over dumbbell rear delt fly,4.3
10,Carioca quick step,1.3
10,Standing hamstring stretch,1.0
10,Barbell Hip Thrust,3.3
10,Bear crawl sled drag,3.3
10,Jumping rope,3.5
10,Push-jerk,3.7
11,Dumbbell seesaw shoulder press,4.0
11,Clapping Push-Up,4.7
11,Shoulder T,1.4
11,Barbell Hip Thrust,2.3
11,Dumbbell farmer's walk,3.1
11,Shadow boxing,3.5
11,Power snatch-,1.2
12,Dumbbell straight-legged hip raise,4.3
12,Scissors Jump,3.3
12,Arm circle,3.1
12,Good Morning,1.6
12,Sled Push,1.1
12,Treadmill running,2.1
12,Clean and jerk,4.8
13,Dumbbell front raise,4.9
13,Box Jump (Multiple Response),2.8
13,Bar shoulder extension stretch,4.7
13,Board bench press,4.1
13,Tire flip,3.3
13,Treadmill walking,4.5
13,Behind-the-head push-press,1.0
14,Seated finger curl,2.9
14,Clapping Push-Up,3.3
14,Iliotibial band SMR,1.2
14,Speed Box Squat,3.3
14,Sled Push,1.8
14,Treadmill jogging,2.5
14,Clean and jerk,4.6
15,Power clean,4.7
15,Burpee box jump,2.1
15,Rhomboids SMR,4.9
15,Barbell Hip Thrust,4.0
15,Sled Push,2.2
15,Jumping Jack,1.5
15,Power snatch-,1.6
16,Paul Carter Back Squat,1.0
16,In-out jump squat,2.2
16,Toe Touchers,2.4
16,Barbell glute bridge,4.1
16,Sled Push,4.5
16,Plate push,2.5
16,Clean and jerk,3.9
17,Straight-arm dumbbell pull-over,4.7
17,Medicine ball slam,2.2
17,Exercise ball chest stretch,1.2
17,Rack pull,4.4
17,Dumbbell farmer's walk,4.6
17,Stair climber,4.9
17,Behind-the-head push-press,4.2
18,Dumbbell clean and push-press,4.2
18,Lateral hop,4.8
18,Single-leg lying cross-over stretch,1.4
18,Barbell glute bridge,1.9
18,Dumbbell farmer's walk,3.8
18,Plate push,4.0
18,Clean and jerk,3.0
19,Hyperextension - Gethin Variation,5.0
19,Medicine ball ninja,3.4
19,Lying hamstring stretch with band,4.7
19,Dumbbell floor press,1.1
19,Dumbbell farmer's walk,2.0
19,Jumping rope,3.4
19,Power snatch-,4.6
20,Barbell reverse lunge,3.3
20,Split Jump,3.1
20,Exercise ball chest stretch,2.7
20,Rack pull,2.8
20,Dumbbell farmer's walk,2.3
20,Plate push,2.9
20,Power snatch-,4.3
21,Alternate Hammer Curl,2.1
21,Medicine Ball Chest Pass,1.8
21,Latissimus dorsi SMR,1.5
21,Barbell deficit deadlift,3.9
21,Tire flip,2.3
21,Rower,4.0
21,Push-jerk,1.7
22,FYR Hollow-Body Rock,4.4
22,Depth jump box jump,3.5
22,Lying groin stretch with band,2.3
22,Sumo deadlift,2.8
22,Sled Push,4.3
22,Treadmill running,3.1
22,Power snatch-,3.7
23,Standing quad stretch,4.3
23,Wall ball toss,3.4
23,Bent Over Shoulder Y,1.8
23,Board bench press,2.9
23,Sled Push,2.5
23,Treadmill walking,3.3
23,Clean and jerk,4.1
24,Total Fitness Weighted Push-Up,2.4
24,Sprawl frog kick,4.7
24,Child's pose,4.3
24,Barbell deficit deadlift,4.7
24,Dumbbell farmer's walk,1.9
24,Treadmill running,3.5
24,Clean and jerk,1.1
25,30 Side Plank On Ball,3.3
25,Single-cone sprint drill,2.3
25,Arm circle,4.1
25,Dumbbell floor press,3.4
25,Bear crawl sled drag,3.4
25,Burpee,1.5
25,Behind-the-head push-press,3.8
26,Smith machine leg press,3.7
26,Jumping knee up-down,2.8
26,Calf SMR,2.2
26,Glute Ham Raise,1.8
26,Tire flip,5.0
26,Shadow boxing,4.9
26,Power snatch-,3.3
27,Elbow plank,1.4
27,Box jump,4.8
27,Half bird dog,2.3
27,Rack pull,3.9
27,Tire flip,2.6
27,Jumping Jack,2.6
27,Push-press,4.7
28,ACFT Hanging leg tuck,4.6
28,Bar Push-Up Smith Machine,2.3
28,Brachialis SMR,2.8
28,Rack pull,2.5
28,Tire flip,2.6
28,Jumping rope,1.6
28,Behind-the-head push-press,2.8
29,Squat hold with band pull-apart,2.9
29,Sledgehammer swing,2.7
29,Reach-roll-lift combo,3.4
29,Rack pull,2.0
29,Bear crawl sled drag,4.6
29,Bear crawl fire feet,1.6
29,Clean and jerk,3.2
30,Bent Over Barbell Row,1.8
30,Burpee box jump,4.9
30,Lying glute stretch,2.4
30,Glute Ham Raise,3.2
30,Dumbbell farmer's walk,3.3
30,Stationary bike,3.4
30,Clean and jerk,3.3
31,FYR Knees to Chest,4.9
31,Lateral hop,1.2
31,Alternating standing knee-pull stretch,1.2
31,Good Morning,1.1
31,Sled Push,4.0
31,Stairmaster,4.8
31,Power snatch-,1.4
32,Dumbbell front raise to lateral raise,1.5
32,Slalom jumps,3.8
32,Alternating standing knee-pull stretch,4.4
32,Rack pull,2.4
32,Tire flip,4.3
32,Jumping Jack,2.9
32,Push-jerk,1.8
33,Standing crossed-cable rear delt fly,2.9
33,Medicine ball scoop throw,3.5
33,Alternating standing knee-pull stretch,3.6
33,Barbell Hip Thrust,3.2
33,Tire flip,4.7
33,Stair climber,1.6
33,Push-jerk,3.3
34,Single-arm cable push-down,2.3
34,Wall ball toss,1.3
34,World's greatest stretch,3.3
34,Good Morning,2.3
34,Dumbbell farmer's walk,2.6
34,Treadmill jogging,2.0
34,Power snatch-,1.3
35,Exercise ball pike,2.1
35,Medicine ball slam,3.0
35,Quadriceps SMR,4.4
35,Barbell glute bridge,1.3
35,Bear crawl sled drag,4.3
35,Jumping Jack,3.6
35,Push-press,2.6
36,Bodyweight Flyes,4.7
36,Sprawl frog kick,2.6
36,Half bird dog,2.9
36,Dumbbell floor press,4.1
36,Dumbbell farmer's walk,2.3
36,Stairmaster,1.4
36,Push-jerk,1.4
37,Single-arm machine preacher curl,2.2
37,Scissors Jump,4.1
37,Lying hamstring stretch with band,4.2
37,Board bench press,1.1
37,Tire flip,4.2
37,Treadmill running,1.4
37,Push-jerk,2.5
38,Weighted pull-up,2.2
38,Burpee over barbell,3.2
38,Cross-body shoulder stretch,3.2
38,Dumbbell floor press,4.7
38,Sled Push,1.1
38,Shadow boxing,3.9
38,Push-press,4.8
39,Overhead bar front raise,4.6
39,Dumbbell jump squat,3.9
39,Standing hamstring stretch,3.5
39,Speed Box Squat,2.3
39,Dumbbell farmer's walk,3.6
39,Shuttle run,3.5
39,Clean and jerk,3.3
40,Dumbbell goblet squat-,3.6
40,Kettlebell fire feet,3.5
40,Pass-through stretch with band,3.0
40,Board bench press,1.4
40,Tire flip,1.1
40,Bear crawl fire feet,4.3
40,Push-press,4.8
41,Bent-knee reverse crunch,1.4
41,Jumping knee up-down,2.2
41,Alternating lunge jump,2.0
41,Rack pull,2.7
41,Bear crawl sled drag,4.2
41,Treadmill running,4.4
41,Push-press,2.6
42,Band good morning-,2.6
42,Wall sprawl,1.5
42,Pass-through stretch with band,1.2
42,Good Morning,3.1
42,Sled Push,4.1
42,Sled push-,1.6
42,Push-press,1.8
43,Barbell press sit-up,3.3
43,Burpee over barbell,4.0
43,Latissimus dorsi SMR,4.4
43,Barbell back squat to box,1.1
43,Sled Push,1.4
43,Jumping Jack,2.3
43,Clean and jerk,2.6
44,Bodyweight Walking Lunge,2.6
44,Medicine ball slam,2.5
44,Lower back SMR,2.3
44,Board bench press,2.6
44,Bear crawl sled drag,4.2
44,High knees,3.4
